start_date,end_date,progress,duration_seconds,finished,recorded_date,campus,group_number,nanostore_name,address,coordinates_text,street_type,location_type,store_size,latitude,longitude,valid_coords
2025-11-19 17:46:55,2025-11-19 17:49:36,100,160,True,2025-11-19 17:49:39,QRO,"Amezquita,Ordaz,Valeur",Los Manantiales,"76908 Corregidora Municipality, Querétaro",20º32’29.8’N 100º2701.2’W,Primary,Middle of the street,20-50m²,0.0,0.0,False
2025-11-19 18:19:46,2025-11-19 18:31:38,100,711,True,2025-11-19 18:31:40,CVA,"Dominguez,Morales,Orihuela",Abarrotes el Güero,"Av. Compositores, Tlaltenango, 62170 Cuernavaca, Mor.","18.9498920741902, -99.24797115451163",Secondary,Middle of the street,<20m²,0.0,0.0,False
2025-11-19 19:16:18,2025-11-19 19:23:05,100,406,True,2025-11-19 19:23:07,CDJ,"Alejo,Favela,Hernandez",La Tiendita de San Miguel,"C. P° de San Miguel 589, Waterfill Rio Bravo, 32560","(31.6675655, -106.3547266)",Primary,Middle of the street,<20m²,31.666776263784133,-106.3531977612176,True
2025-11-12 16:03:39,2025-11-19 22:00:14,100,626195,True,2025-11-19 22:00:15,PUE,"Gonzalez,Garcia,Sanchez,Garcia",Deposito y Miscelanea Alex,"Insurgentes 33, barrio de, San Sebastián, 90970 Cdad. de San Pablo del Monte, Tlax.","19.120944558362897, -98.18294361269359",Primary,Middle of the street,51-100m²,0.0,0.0,False
2025-11-20 09:23:33,2025-11-20 09:27:07,100,214,True,2025-11-20 09:27:09,QRO,"Fortanell,Cedillo,P√©rez",Plásticos y abarrotes,https://maps.app.goo.gl/PyYD7h2sRmHYXLzj7?g_st=ipc,"(20.6084751, -100.3967145)",Secondary,Middle of the street,20-50m²,20.608985276985752,-100.39681645879784,True
2025-11-20 09:45:08,2025-11-20 09:56:49,100,700,True,2025-11-20 09:56:51,CSF,"Lopez, Hernandez, Rojas","Carnicería y Pollería ""La Fe""","Chabacanos 4, Jardines de San Mateo, 53240 Naucalpan de Juárez, Méx.","(19.4880576, - 99.2561233)",Secondary,Middle of the street,51-100m²,0.0,0.0,False
2025-11-20 10:15:20,2025-11-20 10:19:25,100,244,True,2025-11-20 10:19:28,SLP,"Gonzalez,Ramirez,Ramirez",Himalaya Mart,https://maps.app.goo.gl/TGwprGdmp9qkiDib9?g_st=ipc,"(22.1399875, -101.0292361)",Primary,Middle of the street,51-100m²,22.140225432851,-101.02940385169288,True
2025-11-20 10:50:31,2025-11-20 10:55:45,100,314,True,2025-11-20 10:55:50,CHI,"Herrera,Loya",Abarrotes Milenio,"Nuevos Valores 4664, Juventud Nte, 31124 Chihuahua, Chih.","28.6538, -106.1006",Primary,Corner shop,20-50m²,28.692697532058222,-106.1442192065433,True
2025-11-20 11:12:05,2025-11-20 11:15:51,100,226,True,2025-11-20 11:15:55,SLP,"Hernandez,Zamudio,Zavala",Abarrotes Gurru,https://maps.app.goo.gl/nLo6SnpuMCPFc2U5A,"22.13443° N, 101.01933° W",Secondary,Corner shop,<20m²,0.0,0.0,False
2025-11-20 11:36:34,2025-11-20 11:42:12,100,337,True,2025-11-20 11:42:13,SIN,"G√°mez, Beltran","Abarrote ""La Tiendita""","P.º de Los Laureles 3965, Country Alamos, 80100 Culiacán Rosales, Sin.","24.803669396030546, -107.42481675104717",Secondary,Corner shop,20-50m²,0.0,0.0,False
2025-11-20 11:40:39,2025-11-20 11:42:47,100,128,True,2025-11-20 11:42:50,CHI,"Ortiz,Herrera,Villanueba",Chix,"Río Bravo #4303, C. Río Nazas Esq, Junta de los Ríos, 31300 Chihuahua, Chih.","(28.6679427, -106.0714296)",Secondary,Corner shop,20-50m²,28.66785176587745,-106.07138867388268,True
2025-11-20 11:45:33,2025-11-20 11:50:53,100,319,True,2025-11-20 11:50:55,QRO,"Rodriguez,Escamilla,Muñoz",Kilian,"Química 46, Industrial, 76130 Santiago de Querétaro, Qro.","(20.6196602, -100.4280652)",Secondary,Middle of the street,>100m²,0.0,0.0,False
2025-11-20 11:29:36,2025-11-20 11:56:21,100,1604,True,2025-11-20 11:56:21,CVA,"Romero,Presteguin,Marquez",Abarrotes y rosticería El bofe,"C. Gral.Francisco Villa, Buena Vista, 62130 Cuernavaca, Mor.","18.965139621567424, -99.24799982050592",Primary,Middle of the street,20-50m²,18.907136,-99.221504,True
2025-11-20 11:56:24,2025-11-20 12:03:58,100,454,True,2025-11-20 12:03:59,SIN,"Hern√°ndez,Figueroa,Valenzuela",Super El Tango Stase 2,"Blvd. Diamante 2296, Stase II, 80020 Culiacán Rosales, Sin.","24°49'45""N, 107°24'56""W",Primary,Corner shop,51-100m²,0.0,0.0,False
