start_date,end_date,progress,duration_seconds,finished,recorded_date,campus,group_number,years_running,Q23.1,Q23_16_TEXT,Q4_1,Q4_2,Q4_3,Q4_4,Q4_5,Q4_6,Q4_6_TEXT,supplier_incentive_frequency,Q7_1,Q7_2,Q7_3,Q7_4,Q7_5,Q7_6,Q7_7,Q7_8,Q7_9,healthy_definition,top_healthy_products,top_unhealthy_products,offers_healthy_products,healthy_price_comparison,healthy_visibility,Q15_1,Q15_2,Q15_3,Q15_4,Q15_5,Q15_6,Q15_6_TEXT,Q16_1,Q16_2,Q16_3,Q16_5,Q16_6,Q16_6_TEXT,healthy_intro_experience,supplier_help_needed,sex,age,education,latitude,longitude,years_running_numeric,offers_healthy,valid_coords
2025-10-02 13:32:16,2025-10-02 13:46:10,100,834,True,2025-10-02 13:46:10,CSF,14,5,"Sugary drinks (e.g., soda, juice, energy drinks)",,1.0,2.0,5.0,4.0,3.0,6.0,,Sometimes,Healthy,Unhealthy,Healthy,Healthy,Unhealthy,Unhealthy,Healthy,Unhealthy,Unhealthy,Que te de depresión,"Agua, jugo y cereales","Amper, cigarros y refresco",No,About the same,Moderately visible (placed along with other items),1.0,3.0,5.0,4.0,2.0,6.0,,1.0,4.0,3.0,2.0,5.0,,"Si, la siguen comprando y todavía la ofrece",descuentos o promociones,M,40-49,Primary school,19.35660221198605,-99.25977443497172,5.0,False,True
2025-10-02 15:40:25,2025-10-02 15:51:44,100,679,True,2025-10-02 15:51:45,GDL,24,1,"Sugary drinks (e.g., soda, juice, energy drinks),Dairy (e.g., milk, cheese, yogurt),Beer",,1.0,5.0,2.0,3.0,4.0,6.0,,Never,Healthy,Healthy,Healthy,Healthy,Healthy,Unhealthy,Unhealthy,Unhealthy,Unhealthy,Que tenga menos azúcar,"Coca, Pepsi, cerveza","Coca, cerveza, tecate",Yes,Much more expensive,"Highly visible (e.g., front shelves, eye-level, near checkout)",1.0,4.0,3.0,2.0,5.0,6.0,,1.0,4.0,2.0,3.0,5.0,,"Se vendieron lento, todavía las ofrece","ninguna, depende de los compradores",M,20-29,Primary school,20.747750483259757,-103.43851784518338,1.0,True,True
2025-10-02 16:11:40,2025-10-02 16:32:30,100,1249,True,2025-10-02 16:32:30,GDL,35,10+,"Packaged meals (e.g., ready-to-eat, frozen meals),Beer,Cigarettes",,1.0,5.0,4.0,2.0,3.0,6.0,,Never,Healthy,Healthy,Healthy,Healthy,Healthy,Unhealthy,Unhealthy,Unhealthy,Unhealthy,Que sea un producto no esté tan procesado industrialmente,"La comida, agua natural, frutas y verduras","Cigarro, refresco, cerveza",Yes,About the same,Moderately visible (placed along with other items),3.0,4.0,5.0,2.0,1.0,6.0,,2.0,4.0,3.0,1.0,5.0,,"El agua de coco, la gente no la conocía bien y el proveedor se desanimó, por lo que dejó de traerla porque no había difusión y se echaba a perder",La constancia y muestras gratuitas por parte de los proveedores,F,50-59,University/college degree,20.73154953426936,-103.45473635034554,12.0,True,True
2025-10-02 16:29:46,2025-10-02 16:43:02,100,795,True,2025-10-02 16:43:02,GDL,22,10+,"Salty snacks (e.g., chips, pretzels, popcorn),Bread/Tortillas,Beer",,2.0,1.0,4.0,5.0,3.0,6.0,,Often,Healthy,Healthy,Healthy,Healthy,Unhealthy,Unhealthy,Unhealthy,Unhealthy,Unhealthy,"La higiene, los ingredientes","Verduras, los huevos, el agua embotellada","Cigarros, cervezas, refrescos",Yes,Much more expensive,"Highly visible (e.g., front shelves, eye-level, near checkout)",1.0,5.0,3.0,2.0,4.0,6.0,,1.0,3.0,4.0,2.0,5.0,,"Si, las galletas Kelly, mucha gente las consume","Cómo tal de los proveedores no se necesita nada, más bien que el producto se venda",M,<20,Preparatory School,0.0,0.0,12.0,True,False
2025-10-02 16:56:54,2025-10-02 17:05:23,100,508,True,2025-10-02 17:05:23,GDL,27,Less than 1,"Sugary drinks (e.g., soda, juice, energy drinks),Bread/Tortillas,Dairy (e.g., milk, cheese, yogurt)",,1.0,3.0,2.0,5.0,4.0,6.0,,Often,Healthy,Healthy,Healthy,Healthy,Unhealthy,Unhealthy,Unhealthy,Unhealthy,Unhealthy,Que sea lo menos procesado posible,"Las fritas y verduras, los lácteos y las aguas frescas","La cerveza, el azúcar y la sal a granero",Yes,About the same,"Highly visible (e.g., front shelves, eye-level, near checkout)",1.0,2.0,3.0,4.0,5.0,6.0,,2.0,4.0,3.0,1.0,5.0,,Sí; comida casera más natural y menos procesada y fué muy bien recibida,Que hicieran degustaciones para promover su venta,F,40-49,University/college degree,0.0,0.0,0.5,True,False
2025-10-04 14:28:29,2025-10-04 14:42:54,100,864,True,2025-10-04 14:42:54,GDL,21,10+,"Sugary drinks (e.g., soda, juice, energy drinks),Salty snacks (e.g., chips, pretzels, popcorn),Beer",,1.0,5.0,3.0,4.0,2.0,6.0,,Often,Healthy,Unhealthy,Unhealthy,Healthy,Unhealthy,Unhealthy,Unhealthy,Unhealthy,Unhealthy,"The only healthy products are fruits and vegetables, anything else is pretty unhealthy.","Eggs, cottage cheese, lala milk 100%","energizing drinks, alcoholic drinks, sodas",Yes,Slightly more expensive,Moderately visible (placed along with other items),1.0,2.0,3.0,5.0,4.0,6.0,,3.0,4.0,2.0,1.0,5.0,,"When we get a new healthy product, we usually don’t sell much. It’s mainly the older people that buy it but it’s very rare.","I think it’s more about what the customer wants instead of the supplier, is they’re not really interested in the product, it won’t sell.",F,20-29,University/college degree,20.728186201319662,-103.42077260846592,12.0,True,True
2025-10-04 14:29:53,2025-10-04 14:47:38,100,1064,True,2025-10-04 14:47:38,CSF,34,4,"Bread/Tortillas,Dairy (e.g., milk, cheese, yogurt),Beer",,4.0,2.0,1.0,3.0,5.0,6.0,,Sometimes,Healthy,Healthy,Unhealthy,Healthy,Healthy,Unhealthy,Unhealthy,Unhealthy,Unhealthy,Los quesos y carnes frías,"Queso panela, pechugas de pavo, leches","Refrescos, botanas y galletas",Yes,Cheaper,"Highly visible (e.g., front shelves, eye-level, near checkout)",1.0,5.0,2.0,3.0,4.0,6.0,,4.0,3.0,2.0,1.0,5.0,,Todavía ofrece algunos productos saludables,Más productos saludables empaquetados,M,50-59,Preparatory School,0.0,0.0,4.0,True,False
2025-10-05 14:21:11,2025-10-05 14:32:55,100,703,True,2025-10-05 14:32:56,GDL,29,Less than 1,"Bread/Tortillas,Dairy (e.g., milk, cheese, yogurt),Other (please specify)",embutidos,1.0,5.0,2.0,3.0,4.0,6.0,,Always,Healthy,Healthy,Healthy,Healthy,Unhealthy,Unhealthy,Unhealthy,Unhealthy,Unhealthy,"que no tenga azúcar, y que su contenido calórico sea bajo","kefir, yogurt griego, barras de masa madre","refrescos, cerveza, cigarros",Yes,Slightly more expensive,"Highly visible (e.g., front shelves, eye-level, near checkout)",4.0,1.0,3.0,5.0,2.0,6.0,,1.0,4.0,3.0,2.0,5.0,,"si lo ha introducido a su negocio, si lo compraron los clientes y todavía lo ofrece","Mejor precio o precio mas competitivo, un poco mas de variedad y responder a la demanda que piden",M,20-29,Preparatory School,20.568733126448976,-103.4873541838409,0.5,True,True
2025-10-07 11:42:41,2025-10-07 11:53:45,100,664,True,2025-10-07 11:53:45,CSF,31,10+,"Sugary drinks (e.g., soda, juice, energy drinks),Salty snacks (e.g., chips, pretzels, popcorn),Beer,Cigarettes",,1.0,5.0,4.0,2.0,3.0,6.0,,Sometimes,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Unhealthy,Healthy,Healthy,Que contenga algún beneficio para el ser humano ya sea vitamina,"Vitaminas, Agua natural, leche, yogur","Cigarro, Cerveza, Papas",Yes,About the same,"Highly visible (e.g., front shelves, eye-level, near checkout)",1.0,2.0,3.0,4.0,5.0,6.0,No hay,1.0,4.0,2.0,3.0,5.0,No hay,"No hay, ya que es más enfocada a una farmacéutica abarrotera.",Promoción por parte de ellos,M,30-39,Secondary school,19.420178974468023,-99.2976231451154,12.0,True,True
2025-10-08 10:37:24,2025-10-08 10:46:13,100,528,True,2025-10-08 10:46:13,CSF,15,10+,"Sugary drinks (e.g., soda, juice, energy drinks),Salty snacks (e.g., chips, pretzels, popcorn),Dairy (e.g., milk, cheese, yogurt)",,2.0,4.0,5.0,1.0,3.0,6.0,,Often,Healthy,Unhealthy,Healthy,Healthy,Unhealthy,Unhealthy,Unhealthy,Unhealthy,Unhealthy,Su valor nutrimental,Lácteos,"Alcohol, Refrescos, cigarros",Yes,Slightly more expensive,Moderately visible (placed along with other items),3.0,1.0,2.0,5.0,4.0,6.0,,1.0,2.0,3.0,4.0,5.0,,Se intentó peor casi no lo piden,Promociones e información,F,30-39,Secondary school,19.356452478284808,-99.2599076608832,12.0,True,True
2025-10-08 11:27:39,2025-10-08 12:08:49,100,2470,True,2025-10-08 12:08:50,CSF,12,8,"Sugary drinks (e.g., soda, juice, energy drinks),Salty snacks (e.g., chips, pretzels, popcorn),Bread/Tortillas,Beer,Cigarettes",,1.0,2.0,5.0,3.0,4.0,6.0,,Often,Healthy,Healthy,Healthy,Healthy,Unhealthy,Unhealthy,Unhealthy,Unhealthy,Unhealthy,La función interna/el contenido del alimento en forma de vitaminas,"Pan integral, huevo, frijol","Cerveza, cigarros, refresco",Yes,About the same,Moderately visible (placed along with other items),2.0,1.0,4.0,5.0,3.0,6.0,,2.0,3.0,4.0,1.0,5.0,,No se vendió mucho pero se mantuvo por qur bajo se precio,,M,50-59,University/college degree,19.333760089320744,-99.30947052549938,8.0,True,True
2025-10-08 12:09:06,2025-10-08 12:18:45,100,578,True,2025-10-08 12:18:45,CSF,12,8,"Sugary drinks (e.g., soda, juice, energy drinks),Dairy (e.g., milk, cheese, yogurt),Packaged meals (e.g., ready-to-eat, frozen meals),Beer",,1.0,5.0,2.0,3.0,4.0,6.0,,Sometimes,Healthy,Healthy,Healthy,Healthy,Unhealthy,Unhealthy,Unhealthy,Unhealthy,Unhealthy,El contenido y vitaminas,"Huevos, pan integral, leche vutaminada","Cerveza, cigarros, bebidas azucaradas",Yes,About the same,Moderately visible (placed along with other items),,,,,,,,2.0,3.0,4.0,1.0,5.0,,No lo compraban pero bajo el precio y lo dejo ahí,Incentivar la bondad/beneficio de estos productos,M,70+,University/college degree,19.333885115286364,-99.30943307685877,8.0,True,True
2025-10-08 16:18:43,2025-10-08 16:48:05,100,1762,True,2025-10-08 16:48:06,CSF,13,10+,"Sugary drinks (e.g., soda, juice, energy drinks),Salty snacks (e.g., chips, pretzels, popcorn),Beer",,1.0,3.0,4.0,5.0,2.0,6.0,,Always,Healthy,Healthy,Healthy,Healthy,Healthy,Unhealthy,Unhealthy,Unhealthy,Unhealthy,Tenga menos azúcar y grasa,"Agua, yogurt, cereales","Refrescos, cerveza y frituras",Yes,About the same,Moderately visible (placed along with other items),3.0,4.0,5.0,1.0,2.0,6.0,,1.0,2.0,3.0,4.0,5.0,,"No, por la baja demanda a raíz de la pandemia",Tendrían que ofrecerle ese tipo de productos sin que ella viaje por ellos,F,40-49,Secondary school,19.333885115286364,-99.30943307685877,12.0,True,True
2025-10-09 09:00:04,2025-10-09 09:18:30,100,1106,True,2025-10-09 09:18:31,CSF,36,10+,"Sugary drinks (e.g., soda, juice, energy drinks),Salty snacks (e.g., chips, pretzels, popcorn),Dairy (e.g., milk, cheese, yogurt)",,4.0,1.0,2.0,3.0,5.0,6.0,,Sometimes,Healthy,Healthy,Healthy,Healthy,Unhealthy,Healthy,Healthy,Unhealthy,Unhealthy,"Pollo, pescado, que sea natural","Huevo, frijol, arroz","Papas, cerveza, cigarros",Yes,Much more expensive,"Highly visible (e.g., front shelves, eye-level, near checkout)",4.0,3.0,5.0,1.0,2.0,6.0,,4.0,1.0,3.0,2.0,5.0,,"Porque es lo primordial , es accesible y necesario",Que les hagan descuento en los podructos por mayoreo en productos naturales,F,70+,Primary school,19.333885115286364,-99.30943307685877,12.0,True,True
2025-10-09 12:05:07,2025-10-09 12:21:32,100,984,True,2025-10-09 12:21:32,GDL,19,10+,"Bread/Tortillas,Dairy (e.g., milk, cheese, yogurt),Fruits and vegetables",,1.0,4.0,2.0,3.0,5.0,6.0,,Often,Healthy,Healthy,Healthy,Healthy,Healthy,Unhealthy,Unhealthy,Unhealthy,Unhealthy,"Que tenga pocos ingredientes, bajo en azúcar, grasa o sal, y que sea natural o fresco.","Tortillas de nopal, yogur natural, frutas frescas.","Refrescos, papas fritas, dulces.",Yes,Slightly more expensive,"Highly visible (e.g., front shelves, eye-level, near checkout)",3.0,1.0,2.0,4.0,5.0,6.0,,1.0,2.0,3.0,4.0,5.0,,"Sí, metimos barras de avena y galletas sin azúcar. Al principio casi no se vendían, pero poco a poco la gente las empezó a pedir más. Ahorita sí las seguimos ofreciendo.",Que bajen un poco los precios y den más muestras o promociones para que la gente los pruebe.,M,30-39,University/college degree,0.0,0.0,12.0,True,False
2025-10-22 09:28:07,2025-10-22 09:49:11,100,1264,True,2025-10-22 09:49:12,GDL,20,4,"Bread/Tortillas,Dairy (e.g., milk, cheese, yogurt),Fruits and vegetables,Bottled Water,Other (please specify)",Carnes congeladas (res y cerdo) y también carteras de huevo.,1.0,5.0,3.0,2.0,4.0,6.0,,Never,Healthy,Healthy,Healthy,Healthy,Healthy,Unhealthy,Unhealthy,Unhealthy,Unhealthy,"""El hecho que los productos no estén tan procesados, estén grados en azúcares y sodio"" Respuesta del administrador de la tienda.","""Sin duda las frutas y verduras, cualquiera que se te venga a la menta, también los productos de origen animal, carnes congeladas y carteras de huevo, son muy ricos en proteínas"" Respuesta del administrador de la tienda.","""Gaseosas, snacks fritos y cajas de cigarrillos"" Respuesta del administrador de la tienda.",Yes,Slightly more expensive,"Highly visible (e.g., front shelves, eye-level, near checkout)",4.0,2.0,3.0,5.0,1.0,6.0,,2.0,3.0,4.0,1.0,5.0,,"""Si, aún seguimos teniendo productos saludables y cada día tratamos de surtir más sobre estos, la tendencia de nuestros compradores sobre comer sano crece y queremos tener los productos que ellos necesiten"" Respuesta del administrador de la tienda.","""Que por parte de la empresa se creen comerciales que inciten a consumir los productos saludables"" Respuesta del administrador de la tienda.",M,20-29,University/college degree,0.0,0.0,4.0,True,False
2025-11-05 11:56:13,2025-11-05 12:02:28,100,375,True,2025-11-05 12:02:29,CCM,36,3,"Sugary drinks (e.g., soda, juice, energy drinks),Dairy (e.g., milk, cheese, yogurt),Beer",,2.0,5.0,1.0,3.0,4.0,6.0,,Sometimes,Healthy,Healthy,Healthy,Healthy,Unhealthy,Healthy,Unhealthy,Healthy,Unhealthy,Que sea bajo en calorias,"producto a, b, c","x,y,z",Yes,Much more expensive,Moderately visible (placed along with other items),1.0,2.0,3.0,4.0,5.0,6.0,,2.0,1.0,3.0,4.0,5.0,,afdasdfadfa,sgfsd,M,40-49,Preparatory School,42.3624704,-71.0934528,3.0,True,False
2025-11-06 14:03:07,2025-11-06 14:36:27,100,2000,True,2025-11-06 14:36:27,CCM,31,,Bottled Water,,,,,,,,,Sometimes,,,,,,,,,,,,,Yes,About the same,"Highly visible (e.g., front shelves, eye-level, near checkout)",,,,,,,,,,,,,,,,M,50-59,Preparatory School,20.6005194,-100.4059565,12.0,True,True
2025-11-07 11:24:35,2025-11-07 11:52:37,100,1681,True,2025-11-07 11:52:37,QRO,"Abarca,Barbosa,Castaños",10+,"Sugary drinks (e.g., soda, juice, energy drinks),Dairy (e.g., milk, cheese, yogurt),Fruits and vegetables,Packaged meals (e.g., ready-to-eat, frozen meals)",,2.0,4.0,3.0,1.0,5.0,6.0,,Sometimes,Healthy,Healthy,Unhealthy,Healthy,Unhealthy,Unhealthy,Unhealthy,Unhealthy,Unhealthy,"Que nos aporte vitaminas y no haga daño, que no nos engorde. Que nos haga bien","Verduras, frutas, queso","Refresco, sabrítass, comida procesada tipo maruchan y enlatados",Yes,Slightly more expensive,"Highly visible (e.g., front shelves, eye-level, near checkout)",1.0,2.0,3.0,4.0,5.0,6.0,,1.0,3.0,2.0,4.0,5.0,,"No, la verdura y queso es lo más importante, lo abarrote fue el comodin. Las semillas igual son base. Llevan 55 años. Em el 95 se mete la Pepsi en la zona y se vende mas.","El detalle es que no lo son, buscan lo más práctico y saludable, no saludable y por la necesidad de la gente, solo para preparar listo. Incluso hacen pick up. Se acomoda a las tendencias",F,50-59,Secondary school,0.0,0.0,12.0,True,False
2025-11-07 12:45:31,2025-11-07 12:58:43,100,791,True,2025-11-07 12:58:43,QRO,28,,"Sugary drinks (e.g., soda, juice, energy drinks),Bakery items (e.g., pastries, cakes),Fruits and vegetables",,1.0,5.0,4.0,3.0,2.0,6.0,,Sometimes,Healthy,Healthy,Healthy,Healthy,Unhealthy,Unhealthy,Unhealthy,Unhealthy,,,,,Yes,About the same,Moderately visible (placed along with other items),2.0,3.0,1.0,4.0,5.0,6.0,,3.0,4.0,1.0,2.0,5.0,,,,M,50-59,Preparatory School,20.62001781517163,-100.40494416155153,12.0,True,True
